=== SunSang24 Bot Log Started: 2026-01-31_17:59:43 ===
항구: 구매항
선사: 악바리호2
예약날짜: 2026-09-09
예약시간: 18:00:00
예약자: 오동균
전화번호: 010-5961-6149
------------------------------

[17:59:43.06] 🚗 크롬 드라이버를 설정하고 있습니다...
[17:59:44.34] 📝 Chrome PID 저장됨: [10284, 10136, 18232, 25564, 25816, 16788, 9368]
[17:59:44.37] 📍 창 위치 설정: (1280, 0)
[17:59:44.40] 📐 창 크기 설정: 1280 x 1440
[18:00:16.44] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (43/5000)
[18:00:16.80] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (44/5000)
[18:00:17.15] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (45/5000)
[18:00:17.52] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (46/5000)
[18:00:17.84] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (47/5000)
[18:00:18.21] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (48/5000)
[18:00:18.58] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (49/5000)
[18:00:18.92] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (50/5000)
[18:00:19.26] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (51/5000)
[18:00:19.61] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (52/5000)
[18:00:19.97] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (53/5000)
[18:00:20.33] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (54/5000)
[18:00:20.68] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (55/5000)
[18:00:21.06] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (56/5000)
[18:00:21.42] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (57/5000)
[18:00:21.79] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (58/5000)
[18:00:22.13] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (59/5000)
[18:00:22.48] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (60/5000)
[18:00:22.80] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (61/5000)
[18:00:23.15] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (62/5000)
[18:00:23.54] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (63/5000)
[18:00:23.87] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (64/5000)
[18:00:24.22] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (65/5000)
[18:00:24.58] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (66/5000)
[18:00:24.92] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (67/5000)
[18:00:25.30] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (68/5000)
[18:00:25.66] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (69/5000)
[18:00:26.04] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (70/5000)
[18:00:26.39] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (71/5000)
[18:00:26.75] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (72/5000)
[18:00:27.16] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (73/5000)
[18:00:27.48] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (74/5000)
[18:00:27.84] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (75/5000)
[18:00:28.21] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (76/5000)
[18:00:28.58] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (77/5000)
[18:00:28.94] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (78/5000)
[18:00:29.30] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (79/5000)
[18:00:29.66] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (80/5000)
[18:00:30.03] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (81/5000)
[18:00:30.38] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (82/5000)
[18:00:30.72] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (83/5000)
[18:00:31.06] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (84/5000)
[18:00:31.40] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (85/5000)
[18:00:31.74] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (86/5000)
[18:00:32.11] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (87/5000)
[18:00:32.47] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (88/5000)
[18:00:32.80] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (89/5000)
[18:00:33.15] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (90/5000)
[18:00:33.52] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (91/5000)
[18:00:33.87] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (92/5000)
[18:00:34.25] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (93/5000)
[18:00:34.59] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (94/5000)
[18:00:34.96] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (95/5000)
[18:00:35.31] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (96/5000)
[18:00:35.69] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (97/5000)
[18:00:36.04] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (98/5000)
[18:00:36.39] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (99/5000)
[18:00:36.75] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (100/5000)
[18:00:37.11] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (101/5000)
[18:00:37.47] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (102/5000)
[18:00:37.84] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (103/5000)
[18:00:38.21] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (104/5000)
[18:00:38.57] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (105/5000)
[18:00:38.92] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (106/5000)
[18:00:39.30] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (107/5000)
[18:00:39.65] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (108/5000)
[18:00:40.01] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (109/5000)
[18:00:40.37] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (110/5000)
[18:00:40.73] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (111/5000)
[18:00:41.09] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (112/5000)
[18:00:41.44] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (113/5000)
[18:00:41.79] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (114/5000)
[18:00:42.16] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (115/5000)
[18:00:42.50] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (116/5000)
[18:00:42.86] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (117/5000)
[18:00:43.22] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (118/5000)
[18:00:43.57] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (119/5000)
[18:00:43.93] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (120/5000)
[18:00:44.27] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (121/5000)
[18:00:44.62] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (122/5000)
[18:00:44.98] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (123/5000)
[18:00:45.33] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (124/5000)
[18:00:45.72] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (125/5000)
[18:00:46.08] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (126/5000)
[18:00:46.42] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (127/5000)
[18:00:46.78] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (128/5000)
[18:00:47.15] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (129/5000)
[18:00:47.51] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (130/5000)
[18:00:47.88] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (131/5000)
[18:00:48.26] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (132/5000)
[18:00:48.63] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (133/5000)
[18:00:48.98] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (134/5000)
[18:00:49.34] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (135/5000)
[18:00:49.71] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (136/5000)
[18:00:50.07] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (137/5000)
[18:00:50.42] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (138/5000)
[18:00:50.78] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (139/5000)
[18:00:51.14] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (140/5000)
[18:00:51.55] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (141/5000)
[18:00:51.92] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (142/5000)
[18:00:52.27] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (143/5000)
[18:00:52.65] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (144/5000)
[18:00:53.03] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (145/5000)
[18:00:53.38] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (146/5000)
[18:00:53.74] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (147/5000)
[18:00:54.07] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (148/5000)
[18:00:54.44] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (149/5000)
[18:00:54.78] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (150/5000)
[18:00:55.13] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (151/5000)
[18:00:55.50] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (152/5000)
[18:00:55.86] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (153/5000)
[18:00:56.22] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (154/5000)
[18:00:56.57] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (155/5000)
[18:00:56.92] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (156/5000)
[18:00:57.29] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (157/5000)
[18:00:57.63] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (158/5000)
[18:00:58.02] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (159/5000)
[18:00:58.39] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (160/5000)
[18:00:58.76] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (161/5000)
[18:00:59.10] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (162/5000)
[18:00:59.47] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (163/5000)
[18:00:59.84] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (164/5000)
[18:01:00.18] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (165/5000)
[18:01:00.54] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (166/5000)
[18:01:00.90] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (167/5000)
[18:01:01.29] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (168/5000)
[18:01:01.91] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (169/5000)
[18:01:02.37] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (170/5000)
[18:01:02.73] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (171/5000)
[18:01:03.15] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (172/5000)
[18:01:03.52] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (173/5000)
[18:01:03.87] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (174/5000)
[18:01:04.26] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (175/5000)
[18:01:04.61] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (176/5000)
[18:01:05.05] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (177/5000)
[18:01:05.47] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (178/5000)
[18:01:05.88] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (179/5000)
[18:01:06.21] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (180/5000)
[18:01:06.58] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (181/5000)
[18:01:06.95] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (182/5000)
[18:01:07.30] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (183/5000)
[18:01:07.65] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (184/5000)
[18:01:08.02] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (185/5000)
[18:01:08.38] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (186/5000)
[18:01:08.73] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (187/5000)
[18:01:09.10] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (188/5000)
[18:01:09.45] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (189/5000)
[18:01:09.81] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (190/5000)
[18:01:10.16] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (191/5000)
[18:01:10.53] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (192/5000)
[18:01:10.88] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (193/5000)
[18:01:11.24] ⚠️ 서버 미오픈: 잘못된 접근입니다.[배일정이 존재하지 않습니다.] (194/5000)
